X_nm,Y_nm,Z_display,Layer,Sampled_Reconstruction_Intensity_au,Source
9.653333125819016,9.752608859163294,7.927107600612746,1,24.0,intensity-weighted sampled reconstruction pixel
8.082793785243487,8.711939732682247,7.8449140135716435,1,86.0,intensity-weighted sampled reconstruction pixel
6.516709634363419,8.024374735875622,8.008816928060588,1,32.0,intensity-weighted sampled reconstruction pixel
8.001216576608673,7.884133464818346,8.015294912522586,1,48.0,intensity-weighted sampled reconstruction pixel
7.874354287294478,8.075953949774268,7.851839744616226,1,96.0,intensity-weighted sampled reconstruction pixel
9.667563651297652,8.897293872002686,8.052030332737305,1,39.0,intensity-weighted sampled reconstruction pixel
9.318027744642976,9.7478060284791,7.776497377399339,1,75.0,intensity-weighted sampled reconstruction pixel
9.376694753258656,8.166956793508172,8.196727465128943,1,18.0,intensity-weighted sampled reconstruction pixel
5.898154680855149,7.394777301013036,7.89170416779778,1,24.0,intensity-weighted sampled reconstruction pixel
7.195668030324407,7.346915520773291,7.788197695859488,1,0.0,intensity-weighted sampled reconstruction pixel
6.037011050441047,9.25727616162165,7.819794743078434,1,80.0,intensity-weighted sampled reconstruction pixel
7.164186516114745,9.533826935259157,7.880514516208635,1,43.0,intensity-weighted sampled reconstruction pixel
6.365231245934135,6.732355457251895,7.895996837558781,1,29.0,intensity-weighted sampled reconstruction pixel
7.597161948806343,6.5075451839570775,7.785092599768955,1,48.0,intensity-weighted sampled reconstruction pixel
9.012753304815494,8.676701668241162,7.898503213609115,1,18.0,intensity-weighted sampled reconstruction pixel
8.00577254127377,6.934818840970594,7.858753198787002,1,0.0,intensity-weighted sampled reconstruction pixel
6.955255411323491,9.569525664600516,7.944165626619879,1,37.0,intensity-weighted sampled reconstruction pixel
6.080191835376215,7.641731792076066,7.947177159183746,1,0.0,intensity-weighted sampled reconstruction pixel
8.06196127176376,6.926623029586556,7.925943560677324,1,24.0,intensity-weighted sampled reconstruction pixel
9.38032977334411,9.998675944794334,7.9208449864241235,1,0.0,intensity-weighted sampled reconstruction pixel
