atom_id,x_px,y_px,x_nm,y_nm,manual_atom_class,integrated_intensity,peak_height,local_background,local_normalized_intensity,overlay_to_peak_shift_px,nearest_neighbor_distance_px,local_pt_fraction,local_alternation_metric,smoothed_order_metric,spatial_region,lattice_i,lattice_j,parity_i_plus_j,lattice_fit_residual_px,expected_column_from_110,pt_probability_from_intensity,intensity_confidence,audited_column_label,display_label
300,924.0177154648692,827.7596114590087,10.523160922087328,9.426927049559158,Pt-like,5246.0,168.0,0.0,0.993372467335732,2.077068365386367,19.600279573458973,0.4714799020078081,0.6666666666666666,0.627663016057935,Pt-rich,,,,,,,,,Pt-rich region
301,747.8291484696135,852.2169321708222,8.51664025468836,9.705458853945649,LM-like,5101.0,151.0,0.0,1.0332185537775975,2.0828168857835423,20.13736731352753,0.5336086794157989,0.6666666666666666,0.616729243388333,liquid-metal,,,,,,,,,amorphous liquid-metal
302,935.0212521332064,843.9797575787669,10.648474522827923,9.611649923310678,LM-like,4649.0,173.0,0.0,0.8930080676142912,2.086508861570568,19.35228028013223,0.5164276981173114,0.6666666666666666,0.6362749046688901,Pt-rich,,,,,,,,,Pt-rich region
303,795.7838385323317,779.5416959415764,9.062771472794852,8.877798092586424,LM-like,4706.0,161.0,0.0,0.8916256157635468,2.0889732973626134,20.30974480671029,0.528141925183197,0.6666666666666666,0.6256046594200967,ordered-intermetallic,5.0,-2.0,1.0,1.36023301752747,Pt+Ga mixed projected column,0.019119216945545362,0.9808807830544546,Pt+Ga mixed projected column,Pt+Ga mixed projected column
304,56.01553097099578,935.4260781313524,0.6379319754139134,10.653084877210354,Pt-like,5211.0,156.0,0.0,1.1005279831045407,2.089851497013566,19.84433946325768,0.4660074088494948,0.6666666666666666,0.6189124893528606,liquid-metal,,,,,,,,,amorphous liquid-metal
305,906.3199908138866,512.4704252185915,10.321610668948097,5.836261212451604,Pt-like,5680.0,151.0,0.0,1.1426272379802858,2.09468645932123,21.019798002303347,1.0,0.0,0.0005782306189384,Pt-rich,,,,,,,,,Pt-rich region
306,468.13809873457177,830.1070306201847,5.331383223822186,9.453660595000132,LM-like,4713.0,156.0,0.0,0.926934801848756,2.097372297379285,20.35733138791364,0.5305282693061931,0.6666666666666666,0.6257699518033644,ordered-intermetallic,-8.0,13.0,1.0,1.217188079061276,Pt+Ga mixed projected column,0.06398387620574039,0.9360161237942596,Pt+Ga mixed projected column,Pt+Ga mixed projected column
307,945.627698533074,931.931585891614,10.769265867419351,10.613287908424692,Pt-like,5047.0,179.0,0.0,1.089594127806563,2.10077351467286,19.327064899712965,0.3766901630541458,0.8,0.5807143242886876,liquid-metal,,,,,,,,,amorphous liquid-metal
308,901.6451878756252,653.2956568202874,10.268371750716293,7.440047102302551,Pt-like,6311.0,175.0,0.0,1.074121351374351,2.102622029100714,20.64497470847866,0.7990236595248731,0.0,0.2311787051370878,Pt-rich,,,,,,,,,Pt-rich region
309,664.2349523298523,911.5884687063464,7.564629093637538,10.381610644867305,Pt-like,5430.0,136.0,0.0,1.1004154422940522,2.102895031289214,19.068170929327536,0.4682994921693701,0.6666666666666666,0.6187047000146166,liquid-metal,,,,,,,,,amorphous liquid-metal
