atom_id,x_px,y_px,x_nm,y_nm,manual_atom_class,integrated_intensity,peak_height,local_background,local_normalized_intensity,overlay_to_peak_shift_px,nearest_neighbor_distance_px,local_pt_fraction,local_alternation_metric,smoothed_order_metric,spatial_region
741,140.86476632493353,773.6221052423633,1.604236130412006,8.810382928917866,LM-like,5053.0,161.0,0.0,0.9782208885877456,3.9335457098485302,20.27337406934059,0.5342479940039156,0.6666666666666666,0.6264015364794254,ordered-intermetallic
742,22.04974891745512,813.968891262775,0.2511132116479675,9.269871653945408,LM-like,5046.0,149.0,0.0,0.9453864168618267,3.936558072809173,20.38112395648551,0.49744789869622147,0.6666666666666666,0.6385416936083664,liquid-metal
743,490.29325720216383,863.9356523435769,5.583696890440065,9.838917310547606,LM-like,4237.0,118.0,0.0,0.903796928327645,3.9424638898503424,19.700045370122087,0.5324411201583904,0.6666666666666666,0.6248987185424912,ordered-intermetallic
744,197.22561359456733,895.319383805787,2.246100734950632,10.196330432596096,Pt-like,5331.0,163.0,0.0,1.1464516129032258,3.943045149484562,21.057562704865333,0.4731720633309098,0.6666666666666666,0.6224444505772893,ordered-intermetallic
745,927.8478898286703,581.8845491167685,10.566780801355181,6.626782848369305,Pt-like,5844.0,191.0,0.0,1.034885780060209,3.946853344707134,19.641723099373515,1.0,0.0,0.00457570160442855,Pt-rich
746,405.87766997906766,992.4340175740466,4.622331330220009,11.302318880576047,Pt-like,4931.0,151.0,0.0,1.1552067471008551,3.9506797846189303,21.17139428445761,0.5574412272816216,0.5,0.5482208351324805,liquid-metal
747,725.1244644324727,782.6851047005051,8.258068324941561,8.913596752785772,LM-like,4997.0,175.0,0.0,0.9433196469866441,3.956930954914103,20.83383445169721,0.5307165294637538,0.6666666666666666,0.6257686056355107,ordered-intermetallic
748,701.8445140752134,783.8670606795364,7.992944983941117,8.927057439482576,LM-like,4599.0,182.0,0.0,0.8812877263581489,3.968695617178864,19.974767794983038,0.5320322350568542,0.6666666666666666,0.6256536308754675,ordered-intermetallic
749,316.0591231634233,784.1179824106156,3.5994342513977196,8.929915057589678,Pt-like,5535.0,155.0,9.0,0.9889226371270323,3.9695392461375545,19.191332605103977,0.46475674507973186,0.6666666666666666,0.6261766157790418,ordered-intermetallic
750,722.0454050208485,962.752439103278,8.223002506251182,10.964290700551034,LM-like,3870.0,127.0,0.0,0.8180953387591163,3.972858912404442,20.14796834227307,0.5323338553328515,0.6666666666666666,0.5818337278500161,liquid-metal
751,45.647560106153655,812.1614497137872,0.5198565056255912,9.249287634874198,LM-like,5211.0,157.0,0.0,0.9663421418636996,3.973404885076756,20.98642347898853,0.4701894315141854,0.6666666666666666,0.6356558886574584,liquid-metal
752,716.5601180876158,557.2056930927314,8.160533404050918,6.3457280926351975,Pt-like,5974.0,206.0,0.0,1.1051195486287748,3.9739705980544775,19.690073295581637,0.47270338660777567,0.6666666666666666,0.6208777472136846,Pt-rich
753,514.638613587592,829.2989433909252,5.860953590892543,9.44445770655951,LM-like,4146.0,146.0,0.0,0.8549334982987937,3.9757647470058415,18.328416269182135,0.5276841399502519,0.6666666666666666,0.6260909556954208,ordered-intermetallic
754,700.4618552875597,891.6866731028541,7.977198596529597,10.154959365060751,LM-like,4305.0,129.0,0.0,0.8716339339947358,3.9859425228427203,20.767154475122606,0.5274583900949099,0.6666666666666666,0.6212577503150316,liquid-metal
755,643.6607560102859,735.1370993871379,7.330320189068007,8.372097057419975,Pt-like,5534.0,176.0,9.0,1.0783320342946219,3.9897647535167873,17.835384153716454,0.4688904870969874,0.6666666666666666,0.6266529400562959,ordered-intermetallic
756,724.2337422334307,853.2944806697622,8.247924349473863,9.717730497731171,LM-like,4426.0,135.0,0.0,0.8759152978428656,3.9923396065707624,20.666138873540845,0.5327849600017736,0.6666666666666666,0.6215503981615549,ordered-intermetallic
757,55.452042188670596,969.7531078249166,0.6315146924603979,11.044017703926682,Pt-like,4991.0,147.0,0.0,1.1941619810982176,3.9930543396467457,20.87973204997213,0.4103704774940373,0.8,0.5921175376797988,liquid-metal
758,515.4330536518006,720.8322423631597,5.8700010588130205,8.209186422795355,LM-like,5376.0,149.0,0.0,0.968386922453391,3.993366173465111,20.71009787534223,0.5295189589139137,0.6666666666666666,0.6274401106099365,ordered-intermetallic
