Rank,Composition,Ga_count,In_count,Sn_count,Zn_count,Ga_pct,In_pct,Sn_pct,Zn_pct,Energy_eV_atom,Calibrated_Display_kJ_mol,N_components,Category,Optimal_Window,ElementRef_Hf_kJ_mol
103,GaIn3Sn2Zn2,1,3,2,2,12.500000,37.500000,25.000000,25.000000,-4.902565,-52.735308,4,Quaternary,NO,-26.980773
104,Ga2In3SnZn2,2,3,1,2,25.000000,37.500000,12.500000,25.000000,-4.900666,-52.552100,4,Quaternary,NO,-29.564843
105,Ga3In3Zn2,3,3,0,2,37.500000,37.500000,0.000000,25.000000,-4.896260,-52.126987,3,Contains Zn,NO,-31.907026
106,In5Sn2Zn,0,5,2,1,0.000000,62.500000,25.000000,12.500000,-4.892489,-51.763179,3,Contains Zn,NO,-22.741560
107,GaIn5SnZn,1,5,1,1,12.500000,62.500000,12.500000,12.500000,-4.889772,-51.500973,4,Quaternary,NO,-25.246705
108,GaSn3Zn4,1,0,3,4,12.500000,0.000000,37.500000,50.000000,-4.888753,-51.402695,3,Contains Zn,NO,-30.507300
109,Sn4Zn4,0,0,4,4,0.000000,0.000000,50.000000,50.000000,-4.888387,-51.367389,2,Contains Zn,NO,-27.704691
110,Ga2In5Zn,2,5,0,1,25.000000,62.500000,0.000000,12.500000,-4.886863,-51.220361,3,Contains Zn,NO,-27.733326
111,Ga2Sn2Zn4,2,0,2,4,25.000000,0.000000,25.000000,50.000000,-4.883541,-50.899807,3,Contains Zn,NO,-32.771715
112,In7Sn,0,7,1,0,0.000000,87.500000,12.500000,0.000000,-4.878639,-50.426852,2,In-Sn binary,NO,-20.905507
113,GaIn7,1,7,0,0,12.500000,87.500000,0.000000,0.000000,-4.877123,-50.280553,2,Ga-In binary,NO,-23.526532
114,Ga3SnZn4,3,0,1,4,37.500000,0.000000,12.500000,50.000000,-4.876471,-50.217685,3,Contains Zn,NO,-34.856862
115,In2Sn3Zn3,0,2,3,3,0.000000,25.000000,37.500000,37.500000,-4.872318,-49.816949,3,Contains Zn,NO,-25.654538
116,GaIn2Sn2Zn3,1,2,2,3,12.500000,25.000000,25.000000,37.500000,-4.872221,-49.807561,4,Quaternary,NO,-28.412475
117,Ga4Zn4,4,0,0,4,50.000000,0.000000,0.000000,50.000000,-4.870391,-49.631060,2,Contains Zn,NO,-37.037528
118,Ga2In2SnZn3,2,2,1,3,25.000000,25.000000,12.500000,37.500000,-4.869884,-49.582140,4,Quaternary,NO,-30.954285
119,Ga3In2Zn3,3,2,0,3,37.500000,25.000000,0.000000,37.500000,-4.863106,-48.928144,3,Contains Zn,NO,-33.067605
120,In4Sn2Zn2,0,4,2,2,0.000000,50.000000,25.000000,25.000000,-4.862809,-48.899451,3,Contains Zn,NO,-24.237327
121,GaIn4SnZn2,1,4,1,2,12.500000,50.000000,12.500000,25.000000,-4.859580,-48.587957,4,Quaternary,NO,-26.693073
122,Ga2In4Zn2,2,4,0,2,25.000000,50.000000,0.000000,25.000000,-4.856282,-48.269685,3,Contains Zn,NO,-29.142161
123,In6SnZn,0,6,1,1,0.000000,75.000000,12.500000,12.500000,-4.849849,-47.649034,3,Contains Zn,NO,-22.487147
124,GaIn6Zn,1,6,0,1,12.500000,75.000000,0.000000,12.500000,-4.846704,-47.345582,3,Contains Zn,NO,-24.950997
125,InSn3Zn4,0,1,3,4,0.000000,12.500000,37.500000,50.000000,-4.843986,-47.083333,3,Contains Zn,NO,-27.280368
126,GaInSn2Zn4,1,1,2,4,12.500000,12.500000,25.000000,50.000000,-4.843210,-47.008460,4,Quaternary,NO,-29.972791
127,Ga2InSnZn4,2,1,1,4,25.000000,12.500000,12.500000,50.000000,-4.837328,-46.440900,4,Quaternary,NO,-32.172561
128,In8 Pt3In,0,8,0,0,0.000000,100.000000,0.000000,0.000000,-4.836669,-46.377344,1,Pure Pt3In,NO,-20.715740
129,In3Sn2Zn3,0,3,2,3,0.000000,37.500000,25.000000,37.500000,-4.830877,-45.818503,3,Contains Zn,NO,-25.515811
130,Ga3InZn4,3,1,0,4,37.500000,12.500000,0.000000,50.000000,-4.830632,-45.794867,3,Contains Zn,NO,-34.293793
131,GaIn3SnZn3,1,3,1,3,12.500000,37.500000,12.500000,37.500000,-4.828646,-45.603269,4,Quaternary,NO,-28.067848
132,Ga2In3Zn3,2,3,0,3,25.000000,37.500000,0.000000,37.500000,-4.824370,-45.190636,3,Contains Zn,NO,-30.422574
133,In5SnZn2,0,5,1,2,0.000000,62.500000,12.500000,25.000000,-4.819055,-44.677877,3,Contains Zn,NO,-23.875430
134,Sn3Zn5,0,0,3,5,0.000000,0.000000,37.500000,62.500000,-4.816799,-44.460189,2,Contains Zn,NO,-29.016673
135,GaIn5Zn2,1,5,0,2,12.500000,62.500000,0.000000,25.000000,-4.816016,-44.384610,3,Contains Zn,NO,-26.349508
136,GaSn2Zn5,1,0,2,5,12.500000,0.000000,25.000000,62.500000,-4.812692,-44.063913,3,Contains Zn,NO,-31.387704
137,In7Zn,0,7,0,1,0.000000,87.500000,0.000000,12.500000,-4.806621,-43.478163,2,Contains Zn,NO,-22.176001
138,Ga2SnZn5,2,0,1,5,25.000000,0.000000,12.500000,62.500000,-4.803818,-43.207768,3,Contains Zn,NO,-33.298792
139,In2Sn2Zn4,0,2,2,4,0.000000,25.000000,25.000000,50.000000,-4.799603,-42.800995,3,Contains Zn,NO,-26.857782
