T_K,dG_HEA_mean_kJmol_atom,dG_HEA_plus1sigma,dG_HEA_minus1sigma,dG_HEI_sublattice_upper_bound_entropy,dG_HEI_frozen_zero_entropy,Gap_HEA_minus_HEI_sublattice,Gap_HEA_minus_HEI_frozen
1290.0,-23.7129501656749,-21.488965954931828,-25.936934376417977,-33.72511337739186,-30.007884,10.012163211716956,6.2949338343251
1300.0,-23.788521042669796,-21.564536831926723,-26.012505253412872,-33.75392910899954,-30.007884,9.965408066329747,6.219362957330205
1310.0,-23.864091919664695,-21.64010770892162,-26.08807613040777,-33.782744840607236,-30.007884,9.918652920942542,6.143792080335306
1320.0,-23.93966279665959,-21.715678585916514,-26.163647007402666,-33.81156057221492,-30.007884,9.871897775555333,6.068221203340411
1330.0,-24.015233673654485,-21.79124946291141,-26.23921788439756,-33.84037630382261,-30.007884,9.825142630168124,5.992650326345515
1340.0,-24.09080455064938,-21.866820339906305,-26.314788761392457,-33.8691920354303,-30.007884,9.778387484780922,5.91707944935062
1350.0,-24.166375427644276,-21.9423912169012,-26.390359638387352,-33.89800776703799,-30.007884,9.731632339393713,5.841508572355725
1360.0,-24.24194630463917,-22.017962093896095,-26.465930515382247,-33.926823498645675,-30.007884,9.684877194006503,5.7659376953608295
1370.0,-24.317517181634067,-22.093532970890994,-26.541501392377143,-33.95563923025337,-30.007884,9.638122048619302,5.690366818365934
1380.0,-24.393088058628962,-22.16910384788589,-26.617072269372038,-33.984454961861054,-30.007884,9.591366903232093,5.614795941371039
1390.0,-24.468658935623857,-22.244674724880785,-26.692643146366933,-34.01327069346875,-30.007884,9.54461175784489,5.539225064376144
1400.0,-24.544229812618756,-22.320245601875683,-26.768214023361832,-34.042086425076434,-30.007884,9.497856612457678,5.463654187381245
1410.0,-24.61980068961365,-22.39581647887058,-26.843784900356727,-34.07090215668412,-30.007884,9.451101467070469,5.3880833103863495
1420.0,-24.695371566608546,-22.471387355865474,-26.919355777351623,-34.09971788829181,-30.007884,9.404346321683267,5.312512433391454
1430.0,-24.770942443603445,-22.54695823286037,-26.99492665434652,-34.1285336198995,-30.007884,9.357591176296054,5.236941556396555
1440.0,-24.84651332059834,-22.622529109855265,-27.070497531341417,-34.157349351507186,-30.007884,9.310836030908845,5.16137067940166
1450.0,-24.922084197593236,-22.69809998685016,-27.146068408336312,-34.18616508311488,-30.007884,9.264080885521643,5.085799802406765
1460.0,-24.99765507458813,-22.773670863845055,-27.221639285331207,-34.214980814722566,-30.007884,9.217325740134434,5.0102289254118695
1470.0,-25.073225951583026,-22.84924174083995,-27.297210162326103,-34.24379654633026,-30.007884,9.170570594747232,4.934658048416974
1480.0,-25.14879682857792,-22.924812617834846,-27.372781039320998,-34.272612277937945,-30.007884,9.123815449360023,4.859087171422079
1490.0,-25.224367705572817,-23.000383494829745,-27.448351916315893,-34.30142800954563,-30.007884,9.077060303972814,4.783516294427184
1500.0,-25.299938582567712,-23.07595437182464,-27.52392279331079,-34.330243741153325,-30.007884,9.030305158585612,4.707945417432288
1510.0,-25.375509459562608,-23.151525248819535,-27.599493670305684,-34.35905947276101,-30.007884,8.983550013198403,4.632374540437393
1520.0,-25.451080336557506,-23.227096125814434,-27.675064547300583,-34.3878752043687,-30.007884,8.93679486781119,4.556803663442494
1530.0,-25.5266512135524,-23.30266700280933,-27.750635424295478,-34.41669093597639,-30.007884,8.890039722423989,4.481232786447599
1540.0,-25.602222090547297,-23.378237879804225,-27.826206301290373,-34.44550666758408,-30.007884,8.84328457703678,4.405661909452704
1550.0,-25.677792967542196,-23.45380875679912,-27.901777178285272,-34.47432239919176,-30.007884,8.796529431649567,4.330091032457805
1560.0,-25.75336384453709,-23.529379633794015,-27.977348055280167,-34.50313813079946,-30.007884,8.749774286262365,4.2545201554629095
1570.0,-25.828934721531986,-23.60495051078891,-28.052918932275063,-34.53195386240714,-30.007884,8.703019140875156,4.178949278468014
1580.0,-25.90450559852688,-23.680521387783806,-28.128489809269958,-34.56076959401483,-30.007884,8.656263995487947,4.103378401473119
1590.0,-25.980076475521777,-23.7560922647787,-28.204060686264853,-34.58958532562252,-30.007884,8.609508850100745,4.027807524478224
1600.0,-26.055647352516672,-23.831663141773596,-28.27963156325975,-34.61840105723021,-30.007884,8.562753704713536,3.9522366474833284
1610.0,-26.131218229511568,-23.907234018768495,-28.355202440254644,-34.647216788837895,-30.007884,8.515998559326327,3.876665770488433
1620.0,-26.206789106506463,-23.98280489576339,-28.43077331724954,-34.67603252044559,-30.007884,8.469243413939125,3.801094893493538
1630.0,-26.282359983501358,-24.058375772758286,-28.506344194244434,-34.704848252053274,-30.007884,8.422488268551916,3.7255240164986425
1640.0,-26.357930860496253,-24.13394664975318,-28.58191507123933,-34.73366398366097,-30.007884,8.375733123164714,3.6499531395037472
1650.0,-26.433501737491152,-24.20951752674808,-28.65748594823423,-34.762479715268654,-30.007884,8.328977977777502,3.5743822625088484
1660.0,-26.509072614486048,-24.285088403742975,-28.733056825229124,-34.79129544687634,-30.007884,8.282222832390293,3.498811385513953
1670.0,-26.584643491480943,-24.36065928073787,-28.80862770222402,-34.820111178484034,-30.007884,8.23546768700309,3.423240508519058
1680.0,-26.66021436847584,-24.436230157732766,-28.884198579218918,-34.84892691009172,-30.007884,8.188712541615878,3.347669631524159
1690.0,-26.735785245470737,-24.51180103472766,-28.959769456213813,-34.877742641699406,-30.007884,8.141957396228669,3.2720987545292637
1700.0,-26.811356122465632,-24.587371911722556,-29.03534033320871,-34.9065583733071,-30.007884,8.095202250841467,3.1965278775343684
1710.0,-26.886926999460528,-24.66294278871745,-29.110911210203604,-34.935374104914786,-30.007884,8.048447105454258,3.120957000539473
1720.0,-26.962497876455423,-24.738513665712347,-29.1864820871985,-34.96418983652248,-30.007884,8.001691960067056,3.045386123544578
1730.0,-27.038068753450318,-24.814084542707242,-29.262052964193394,-34.993005568130165,-30.007884,7.954936814679847,2.9698152465496825
1740.0,-27.113639630445213,-24.88965541970214,-29.33762384118829,-35.02182129973785,-30.007884,7.908181669292638,2.8942443695547873
1750.0,-27.18921050744011,-24.965226296697036,-29.413194718183185,-35.050637031345545,-30.007884,7.861426523905436,2.818673492559892
1760.0,-27.264781384435004,-25.04079717369193,-29.48876559517808,-35.07945276295323,-30.007884,7.814671378518227,2.7431026155649967
1770.0,-27.340352261429903,-25.11636805068683,-29.56433647217298,-35.10826849456092,-30.007884,7.7679162331310145,2.667531738570098
1780.0,-27.415923138424798,-25.191938927681726,-29.639907349167874,-35.13708422616861,-30.007884,7.721161087743813,2.5919608615752026
1790.0,-27.491494015419693,-25.26750980467662,-29.71547822616277,-35.1658999577763,-30.007884,7.674405942356604,2.5163899845803073
1800.0,-27.567064892414592,-25.343080681671516,-29.79104910315767,-35.19471568938398,-30.007884,7.627650796969391,2.4408191075854084
1810.0,-27.642635769409488,-25.41865155866641,-29.866619980152564,-35.22353142099168,-30.007884,7.580895651582189,2.365248230590513
1820.0,-27.718206646404383,-25.494222435661307,-29.94219085714746,-35.25234715259936,-30.007884,7.53414050619498,2.289677353595618
1830.0,-27.793777523399278,-25.569793312656202,-30.017761734142354,-35.28116288420705,-30.007884,7.487385360807771,2.2141064766007226
1840.0,-27.869348400394173,-25.645364189651097,-30.09333261113725,-35.30997861581474,-30.007884,7.440630215420569,2.1385355996058273
1850.0,-27.94491927738907,-25.720935066645993,-30.168903488132145,-35.33879434742243,-30.007884,7.39387507003336,2.062964722610932
1860.0,-28.020490154383964,-25.79650594364089,-30.24447436512704,-35.367610079030115,-30.007884,7.347119924646151,1.9873938456160367
1870.0,-28.09606103137886,-25.872076820635787,-30.320045242121935,-35.39642581063781,-30.007884,7.300364779258949,1.9118229686211414
1880.0,-28.171631908373755,-25.947647697630682,-30.39561611911683,-35.425241542245494,-30.007884,7.25360963387174,1.8362520916262461
1890.0,-28.247202785368653,-26.02321857462558,-30.47118699611173,-35.45405727385319,-30.007884,7.2068544884845345,1.7606812146313473
1900.0,-28.32277366236355,-26.098789451620476,-30.546757873106625,-35.482873005460874,-30.007884,7.160099343097325,1.685110337636452
1910.0,-28.398344539358444,-26.17436032861537,-30.62232875010152,-35.51168873706856,-30.007884,7.113344197710116,1.6095394606415567
1920.0,-28.473915416353343,-26.249931205610267,-30.69789962709642,-35.540504468676254,-30.007884,7.066589052322911,1.533968583646658
1930.0,-28.549486293348238,-26.325502082605162,-30.773470504091314,-35.56932020028394,-30.007884,7.019833906935702,1.4583977066517626
1940.0,-28.625057170343133,-26.401072959600057,-30.84904138108621,-35.598135931891626,-30.007884,6.973078761548493,1.3828268296568673
1950.0,-28.70062804733803,-26.476643836594953,-30.924612258081105,-35.62695166349932,-30.007884,6.926323616161291,1.307255952661972
1960.0,-28.776198924332924,-26.552214713589848,-31.000183135076,-35.655767395107006,-30.007884,6.879568470774082,1.2316850756670767
1970.0,-28.85176980132782,-26.627785590584743,-31.075754012070895,-35.6845831267147,-30.007884,6.83281332538688,1.1561141986721815
1980.0,-28.927340678322714,-26.703356467579642,-31.15132488906579,-35.713398858322385,-30.007884,6.786058179999671,1.0805433216772862
1990.0,-29.00291155531761,-26.778927344574537,-31.226895766060686,-35.74221458993007,-30.007884,6.739303034612462,1.0049724446823909
2000.0,-29.078482432312505,-26.854498221569433,-31.30246664305558,-35.771030321537765,-30.007884,6.69254788922526,0.9294015676874956
2010.0,-29.154053309307404,-26.93006909856433,-31.37803752005048,-35.79984605314545,-30.007884,6.645792743838047,0.8538306906925968
2020.0,-29.2296241863023,-27.005639975559227,-31.453608397045375,-35.82866178475314,-30.007884,6.599037598450838,0.7782598136977015
2030.0,-29.305195063297194,-27.081210852554122,-31.52917927404027,-35.85747751636083,-30.007884,6.552282453063636,0.7026889367028062
2040.0,-29.380765940292093,-27.156781729549017,-31.60475015103517,-35.88629324796852,-30.007884,6.505527307676424,0.6271180597079073
2050.0,-29.45633681728699,-27.232352606543913,-31.680321028030065,-35.9151089795762,-30.007884,6.458772162289215,0.5515471827130121
2060.0,-29.531907694281884,-27.307923483538808,-31.75589190502496,-35.9439247111839,-30.007884,6.412017016902013,0.4759763057181168
2070.0,-29.60747857127678,-27.383494360533703,-31.831462782019855,-35.97274044279158,-30.007884,6.365261871514804,0.4004054287232215
2080.0,-29.683049448271674,-27.4590652375286,-31.90703365901475,-36.00155617439927,-30.007884,6.318506726127595,0.3248345517283262
2090.0,-29.75862032526657,-27.534636114523494,-31.982604536009646,-36.03037190600696,-30.007884,6.271751580740393,0.24926367473343092
2100.0,-29.834191202261465,-27.61020699151839,-32.05817541300454,-36.05918763761465,-30.007884,6.224996435353184,0.17369279773853563
2110.0,-29.90976207925636,-27.685777868513288,-32.133746289999436,-36.088003369222335,-30.007884,6.178241289965975,0.09812192074364035
2120.0,-29.98533295625126,-27.761348745508187,-32.20931716699434,-36.11681910083003,-30.007884,6.131486144578769,0.022551043748741506
2130.0,-30.060903833246154,-27.836919622503082,-32.28488804398923,-36.145634832437715,-30.007884,6.08473099919156,-0.05301983324615378
