T_K,G_disordered_mean_kJ_mol_atom,G_disordered_minus1SD,G_disordered_plus1SD,G_ordered_Bmix_mean_kJ_mol_atom,G_ordered_Bmix_minus1SD,G_ordered_Bmix_plus1SD,G_ordered_frozen_mean_kJ_mol_atom,Gap_disordered_minus_ordered_Bmix,Gap_disordered_minus_ordered_frozen
1440.0,-24.84651330317387,-27.108513791620375,-22.58451281472737,-34.0187524194318,-34.114172244428204,-33.923332594435394,-29.869287067848134,9.172239116257927,5.0227737646742625
1450.0,-24.922084180170163,-27.18408466861667,-22.660083691723656,-34.04756815104002,-34.14298797603642,-33.95214832604361,-29.869287067848134,9.125483970869855,4.947202887677971
1460.0,-24.99765505716645,-27.259655545612958,-22.735654568719944,-34.07638388264824,-34.17180370764464,-33.98096405765183,-29.869287067848134,9.078728825481786,4.871632010681683
1470.0,-25.073225934162743,-27.335226422609246,-22.81122544571624,-34.105199614256456,-34.20061943925286,-34.00977978926005,-29.869287067848134,9.031973680093714,4.7960611336853916
1480.0,-25.14879681115903,-27.410797299605534,-22.886796322712527,-34.13401534586468,-34.22943517086109,-34.03859552086828,-29.869287067848134,8.985218534705652,4.720490256689104
1490.0,-25.22436768815532,-27.48636817660182,-22.962367199708815,-34.1628310774729,-34.25825090246931,-34.0674112524765,-29.869287067848134,8.938463389317583,4.644919379692816
1500.0,-25.299938565151606,-27.56193905359811,-23.037938076705103,-34.19164680908112,-34.287066634077526,-34.096226984084716,-29.869287067848134,8.891708243929514,4.569348502696528
1510.0,-25.375509442147894,-27.637509930594398,-23.11350895370139,-34.22046254068934,-34.315882365685745,-34.125042715692935,-29.869287067848134,8.844953098541446,4.49377762570024
1520.0,-25.451080319144182,-27.713080807590686,-23.18907983069768,-34.24927827229756,-34.344698097293964,-34.153858447301154,-29.869287067848134,8.798197953153377,4.418206748703952
1530.0,-25.52665119614047,-27.788651684586974,-23.264650707693967,-34.27809400390578,-34.37351382890218,-34.18267417890937,-29.869287067848134,8.751442807765308,4.342635871707664
1540.0,-25.602222073136762,-27.86422256158327,-23.340221584690255,-34.306909735514,-34.4023295605104,-34.21148991051759,-29.869287067848134,8.704687662377236,4.267064994711372
1550.0,-25.67779295013305,-27.939793438579557,-23.415792461686543,-34.33572546712222,-34.43114529211862,-34.24030564212581,-29.869287067848134,8.657932516989167,4.191494117715084
1560.0,-25.753363827129338,-28.015364315575845,-23.49136333868283,-34.364541198730436,-34.45996102372684,-34.26912137373403,-29.869287067848134,8.611177371601098,4.1159232407187964
1570.0,-25.82893470412563,-28.090935192572132,-23.566934215679126,-34.393356930338655,-34.48877675533506,-34.29793710534225,-29.869287067848134,8.564422226213026,4.040352363722505
1580.0,-25.904505581121917,-28.16650606956842,-23.642505092675414,-34.422172661946874,-34.51759248694328,-34.32675283695047,-29.869287067848134,8.517667080824957,3.964781486726217
1590.0,-25.980076458118205,-28.24207694656471,-23.718075969671702,-34.4509883935551,-34.546408218551505,-34.355568568558695,-29.869287067848134,8.470911935436895,3.889210609729929
1600.0,-26.055647335114493,-28.317647823560996,-23.79364684666799,-34.47980412516332,-34.575223950159724,-34.384384300166914,-29.869287067848134,8.424156790048826,3.813639732733641
1610.0,-26.13121821211078,-28.393218700557284,-23.869217723664278,-34.50861985677154,-34.604039681767944,-34.41320003177513,-29.869287067848134,8.377401644660758,3.738068855737353
1620.0,-26.20678908910707,-28.468789577553572,-23.944788600660566,-34.53743558837976,-34.63285541337616,-34.44201576338335,-29.869287067848134,8.330646499272689,3.662497978741065
1630.0,-26.282359966103357,-28.54436045454986,-24.020359477656854,-34.56625131998798,-34.66167114498438,-34.47083149499157,-29.869287067848134,8.28389135388462,3.5869271017447772
1640.0,-26.35793084309965,-28.619931331546155,-24.09593035465314,-34.595067051596196,-34.6904868765926,-34.49964722659979,-29.869287067848134,8.237136208496548,3.5113562247484857
1650.0,-26.433501720095936,-28.695502208542443,-24.17150123164943,-34.623882783204415,-34.71930260820082,-34.52846295820801,-29.869287067848134,8.190381063108479,3.435785347752198
1660.0,-26.509072597092228,-28.77107308553873,-24.247072108645725,-34.652698514812634,-34.74811833980904,-34.55727868981623,-29.869287067848134,8.143625917720406,3.3602144707559063
1670.0,-26.584643474088516,-28.84664396253502,-24.322642985642013,-34.68151424642086,-34.776934071417266,-34.586094421424455,-29.869287067848134,8.096870772332345,3.2846435937596183
1680.0,-26.660214351084804,-28.922214839531307,-24.3982138626383,-34.71032997802908,-34.805749803025485,-34.614910153032675,-29.869287067848134,8.050115626944276,3.2090727167633304
1690.0,-26.73578522808109,-28.997785716527595,-24.47378473963459,-34.7391457096373,-34.834565534633704,-34.643725884640894,-29.869287067848134,8.003360481556207,3.1335018397670424
1700.0,-26.81135610507738,-29.073356593523883,-24.549355616630876,-34.76796144124552,-34.86338126624192,-34.67254161624911,-29.869287067848134,7.956605336168138,3.0579309627707545
1710.0,-26.886926982073668,-29.14892747052017,-24.624926493627164,-34.79677717285374,-34.89219699785014,-34.70135734785733,-29.869287067848134,7.90985019078007,2.9823600857744665
1720.0,-26.962497859069956,-29.22449834751646,-24.700497370623452,-34.825592904461956,-34.92101272945836,-34.73017307946555,-29.869287067848134,7.863095045392001,2.9067892087781786
1730.0,-27.038068736066244,-29.300069224512747,-24.77606824761974,-34.854408636070175,-34.94982846106658,-34.75898881107377,-29.869287067848134,7.816339900003932,2.8312183317818906
1740.0,-27.113639613062535,-29.375640101509042,-24.851639124616028,-34.883224367678395,-34.9786441926748,-34.78780454268199,-29.869287067848134,7.76958475461586,2.755647454785599
1750.0,-27.189210490058823,-29.45121097850533,-24.927210001612316,-34.912040099286614,-35.00745992428302,-34.81662027429021,-29.869287067848134,7.722829609227791,2.680076577789311
1760.0,-27.264781367055114,-29.526781855501618,-25.00278087860861,-34.94085583089483,-35.03627565589124,-34.84543600589843,-29.869287067848134,7.6760744638397185,2.6045057007930197
1770.0,-27.340352244051402,-29.602352732497906,-25.0783517556049,-34.96967156250305,-35.06509138749946,-34.87425173750665,-29.869287067848134,7.62931931845165,2.5289348237967317
1780.0,-27.41592312104769,-29.677923609494194,-25.153922632601187,-34.99848729411128,-35.09390711910768,-34.90306746911487,-29.869287067848134,7.582564173063588,2.453363946800444
1790.0,-27.49149399804398,-29.75349448649048,-25.229493509597475,-35.0273030257195,-35.1227228507159,-34.93188320072309,-29.869287067848134,7.535809027675519,2.377793069804156
1800.0,-27.567064875040266,-29.82906536348677,-25.305064386593763,-35.05611875732772,-35.15153858232412,-34.96069893233131,-29.869287067848134,7.48905388228745,2.302222192807868
1810.0,-27.642635752036554,-29.904636240483057,-25.38063526359005,-35.084934488935936,-35.18035431393234,-34.98951466393953,-29.869287067848134,7.442298736899382,2.22665131581158
1820.0,-27.718206629032842,-29.980207117479345,-25.45620614058634,-35.113750220544155,-35.20917004554056,-35.01833039554775,-29.869287067848134,7.395543591511313,2.151080438815292
1830.0,-27.793777506029134,-30.05577799447564,-25.531777017582627,-35.142565952152374,-35.23798577714878,-35.04714612715597,-29.869287067848134,7.3487884461232404,2.0755095618190005
1840.0,-27.86934838302542,-30.13134887147193,-25.607347894578915,-35.17138168376059,-35.266801508757,-35.07596185876419,-29.869287067848134,7.302033300735172,1.9999386848227125
1850.0,-27.94491926002171,-30.206919748468216,-25.682918771575203,-35.20019741536881,-35.29561724036522,-35.10477759037241,-29.869287067848134,7.255278155347103,1.9243678078264246
